75,7000082,2,54,4,NA,"",1,2,4e+05,2
76,7000083,2,39,6,2,"",2,3,730000,2
77,7000084,1,64,6,1,"",1,5,1120000,3
78,7000085,2,46,4,NA,"",2,3,320000,1
79,7000086,1,34,2,1,"",2,5,1328500,2
80,7000087,1,48,2,2,"",0,2,1047655.25,2
81,7000088,1,24,6,1,"",2,4,866666.666666667,2
82,7000089,1,66,2,1,"",0,2,675000,1
83,7000090,2,55,3,NA,"",1,2,2551000,2
84,7000091,1,30,2,1,"",1,3,1232166.66666667,1
85,7000092,2,32,4,NA,"",1,2,901000,1
86,7000093,1,56,6,1,"",2,5,1177500,2
87,7000094,2,72,3,NA,"",0,1,104166.666666667,2
88,7000095,2,70,3,NA,"",2,3,1450000,3
89,7000096,1,39,6,1,"",2,5,1527500,2
90,7000097,1,27,1,1,"",2,4,806666.666666667,1
91,7000098,2,56,3,NA,"",1,3,810000,2
92,7000099,1,27,6,1,"",1,3,1820000,1
93,7000102,2,44,3,NA,"340_01",2,4,1219166.66666667,2
94,7000103,1,65,6,1,"",1,3,3149000,3
95,7000104,1,67,5,NA,"",0,1,2200000,1
96,7000105,2,59,4,NA,"",1,5,1724333.33333333,3
97,7000106,1,39,6,1,"",1,4,2451666.66666667,2
98,7000107,1,56,2,1,"",2,4,3634210,2
99,7000108,2,76,4,NA,"",1,3,1725000,3
100,7000109,2,33,4,NA,"",2,3,2122544.33333333,1
101,7000110,2,73,3,NA,"",3,5,12320750,3
102,7000111,2,56,3,NA,"",3,6,2373666.66666667,2
103,7000112,1,32,4,NA,"",0,2,1450000,1
104,7000113,1,57,2,1,"",0,3,945000,2
105,7000114,1,39,2,1,"",2,4,1440000,1
106,7000115,2,48,2,1,"800_01",2,7,3275000,4
107,7000116,1,23,1,1,"",0,2,1225000,1
108,7000117,1,25,2,1,"",1,3,350000,1
109,7000118,1,31,2,1,"800_01",1,3,2325000,1
110,7000119,1,48,2,2,"",0,1,2288333.33333333,1
111,7000120,1,50,5,NA,"",0,1,6e+05,1
112,7000121,1,61,5,NA,"",0,1,4e+05,1
113,7000122,2,69,3,NA,"",1,3,1829767.5,3
114,7000123,2,33,3,NA,"",2,3,2358333.33333333,1
115,7000124,1,36,6,1,"",3,5,1578794.83333333,2
116,7000126,2,66,6,1,"",0,2,6e+05,1
117,7000127,1,45,6,1,"",0,2,9e+05,1
118,7000128,2,31,2,1,"",2,4,929786.333333333,2
119,7000129,2,32,5,NA,"",1,4,3907017.5,3
120,7000130,1,55,6,1,"",1,3,850000,2
121,7000131,2,59,4,NA,"",0,1,1729333.33333333,1
122,7000132,1,85,6,1,"",1,3,2281242,2
123,7000133,2,61,3,NA,"",0,1,1281242,1
124,7000134,1,83,2,1,"",0,2,2783333.33333333,1
125,7000136,1,36,6,1,"",2,5,1082000,3
126,7000137,1,57,6,1,"",0,2,5e+05,1
127,7000139,2,47,4,NA,"",0,1,1200000,1
128,7000140,1,26,1,1,"",1,3,1799044.33333333,2
129,7000141,1,19,2,1,"",1,3,0,1
130,7000142,1,50,5,NA,"",1,2,0,1
131,7000143,1,54,6,1,"",2,4,0,3
132,7000145,2,49,5,NA,"",0,1,2e+05,1
133,7000146,2,68,6,1,"500_03",0,2,6e+05,1
134,7000147,1,53,6,1,"",3,6,1670000,3
135,7000148,1,48,6,1,"",2,4,2055000,3
136,7000149,1,50,6,1,"",1,4,2505000,3
137,7000150,1,25,2,1,"",2,4,1027500,2
138,7000151,1,32,2,1,"",3,5,1090666.66666667,2
139,7000152,2,85,3,NA,"",3,5,3838920.5,3
140,7000153,2,46,6,1,"",0,4,3388333.33333333,3
141,7000154,1,53,2,1,"",1,3,2e+06,2
142,7000155,1,62,6,1,"",0,2,734000,3
143,7000156,2,41,2,1,"",0,2,946000,1
144,7000158,1,64,4,NA,"",1,2,2e+06,2
145,7000159,1,74,2,1,"",0,2,745000,2
146,7000160,2,56,3,NA,"",1,2,1142718.33333333,2
147,7000161,2,40,6,1,"750_01",4,6,1453333.33333333,2
148,7000162,1,24,2,1,"",1,4,1410000,2
149,7000163,2,42,2,2,"",6,7,670750,1
150,7000164,1,45,2,1,"",2,4,2194324,2
151,7000165,2,57,3,NA,"",0,1,160000,1
152,7000166,1,36,2,1,"",3,5,2892666.66666667,3
153,7000167,2,59,4,NA,"",1,2,850000,2
154,7000168,2,64,3,NA,"",0,1,1600000,1
155,7000169,1,61,2,1,"",1,3,4583333.33333333,2
156,7000170,2,49,5,NA,"",0,2,2e+06,2
157,7000171,1,49,2,2,"",0,1,1237500,1
158,7000172,1,59,2,1,"",2,4,1131242,1
